1370|JODOIGNE|Waals-Brabant|JODOIGNE|Brabant Wallon
1370|Jodoigne-Souveraine|Waals-Brabant|Jodoigne-Souveraine|Brabant Wallon
1370|Lathuy|Waals-Brabant|Lathuy|Brabant Wallon
1370|Mélin|Waals-Brabant|Mélin|Brabant Wallon
1370|Piétrain|Waals-Brabant|Piétrain|Brabant Wallon
1370|Saint-Jean-Geest|Waals-Brabant|Saint-Jean-Geest|Brabant Wallon
1370|Saint-Remy-Geest|Waals-Brabant|Saint-Remy-Geest|Brabant Wallon
1370|Zétrud-Lumay|Waals-Brabant|Zétrud-Lumay|Brabant Wallon
1380|Couture-Saint-Germain|Waals-Brabant|Couture-Saint-Germain|Brabant Wallon
1380|LASNE|Waals-Brabant|LASNE|Brabant Wallon
1380|Lasne-Chapelle-Saint-Lambert|Waals-Brabant|Lasne-Chapelle-Saint-Lambert|Brabant Wallon
1380|Maransart|Waals-Brabant|Maransart|Brabant Wallon
1380|Ohain|Waals-Brabant|Ohain|Brabant Wallon
1380|Plancenoit|Waals-Brabant|Plancenoit|Brabant Wallon
1390|Archennes|Waals-Brabant|Archennes|Brabant Wallon
1390|Biez|Waals-Brabant|Biez|Brabant Wallon
1390|Bossut-Gottechain|Waals-Brabant|Bossut-Gottechain|Brabant Wallon
1390|GREZ-DOICEAU|Waals-Brabant|GREZ-DOICEAU|Brabant Wallon
1390|Nethen|Waals-Brabant|Nethen|Brabant Wallon
1400|Monstreux|Waals-Brabant|Monstreux|Brabant Wallon
1400|NIVELLES|Waals-Brabant|NIVELLES|Brabant Wallon
1401|Baulers|Waals-Brabant|Baulers|Brabant Wallon
1402|Thines|Waals-Brabant|Thines|Brabant Wallon
1404|Bornival|Waals-Brabant|Bornival|Brabant Wallon
1410|WATERLOO|Waals-Brabant|WATERLOO|Brabant Wallon
1420|BRAINE-L'ALLEUD|Waals-Brabant|BRAINE-L'ALLEUD|Brabant Wallon
1421|Ophain-Bois-Seigneur-Isaac|Waals-Brabant|Ophain-Bois-Seigneur-Isaac|Brabant Wallon
1428|Lillois-Witterzée|Waals-Brabant|Lillois-Witterzée|Brabant Wallon
1430|Bierghes|Waals-Brabant|Bierghes|Brabant Wallon
1430|Quenast|Waals-Brabant|Quenast|Brabant Wallon
1430|REBECQ|Waals-Brabant|REBECQ|Brabant Wallon
1430|Rebecq-Rognon|Waals-Brabant|Rebecq-Rognon|Brabant Wallon
1435|Corbais|Waals-Brabant|Corbais|Brabant Wallon
1435|Hévillers|Waals-Brabant|Hévillers|Brabant Wallon
1435|MONT-SAINT-GUIBERT|Waals-Brabant|MONT-SAINT-GUIBERT|Brabant Wallon
1440|BRAINE-LE-CHÂTEAU|Waals-Brabant|BRAINE-LE-CHÂTEAU|Brabant Wallon
1440|Wauthier-Braine|Waals-Brabant|Wauthier-Braine|Brabant Wallon
1450|CHASTRE|Waals-Brabant|CHASTRE|Brabant Wallon
1450|Chastre-Villeroux-Blanmont|Waals-Brabant|Chastre-Villeroux-Blanmont|Brabant Wallon
1450|Cortil-Noirmont|Waals-Brabant|Cortil-Noirmont|Brabant Wallon
1450|Gentinnes|Waals-Brabant|Gentinnes|Brabant Wallon
1450|Saint-Géry|Waals-Brabant|Saint-Géry|Brabant Wallon
1457|Nil-Saint-Vincent-Saint-Martin|Waals-Brabant|Nil-Saint-Vincent-Saint-Martin|Brabant Wallon
1457|Tourinnes-Saint-Lambert|Waals-Brabant|Tourinnes-Saint-Lambert|Brabant Wallon
1457|WALHAIN|Waals-Brabant|WALHAIN|Brabant Wallon
